index,budget,popularity,revenue,runtime,vote_average,vote_count,original_title,keywords,genres,original_language,production_companies,cast,Director,Producer,Writer,Editor,soup
13,255000000,49.046956,89289910,149.0,5.9,2311,The Lone Ranger,"['escape', 'lawyer', 'texas']","['action', 'adventure', 'western']",en,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",[],['goreverbinski'],"['Gore Verbinski', 'Jerry Bruckheimer']",[],"['Craig Wood', 'James Haygood']",escape lawyer texas  goreverbinski action adventure western
14,225000000,99.398009,662845518,143.0,6.5,6359,Man of Steel,"['superhero', 'basedoncomicbook', 'savingtheworld']","['action', 'adventure', 'sciencefiction']",en,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",[],['zacksnyder'],"['Deborah Snyder', 'Christopher Nolan', 'Emma Thomas', 'Charles Roven']",[],['David Brenner'],superhero basedoncomicbook savingtheworld  zacksnyder action adventure sciencefiction
15,225000000,53.978602,419651413,150.0,6.3,1630,The Chronicles of Narnia: Prince Caspian,"['basedonnovel', 'brothersisterrelationship', 'faith']","['adventure', 'family', 'fantasy']",en,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']",[],['andrewadamson'],"['Philip Steuer', 'Andrew Adamson', 'Mark Johnson']",[],"['Josh Campbell', 'Sim Evan-Jones']",basedonnovel brothersisterrelationship faith  andrewadamson adventure family fantasy
16,220000000,144.448633,1519557910,143.0,7.4,11776,The Avengers,"['duringcreditsstinger', 'aftercreditsstinger', 'newyork']","['action', 'adventure', 'sciencefiction']",en,"['Paramount Pictures', 'Marvel Studios']",[],['josswhedon'],['Kevin Feige'],[],"['Jeffrey Ford', 'Lisa Lassek']",duringcreditsstinger aftercreditsstinger newyork  josswhedon action adventure sciencefiction
17,380000000,135.413856,1045713802,136.0,6.4,4948,Pirates of the Caribbean: On Stranger Tides,"['aftercreditsstinger', '3d', 'soldier']","['action', 'adventure', 'fantasy']",en,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",[],['robmarshall'],['Jerry Bruckheimer'],[],"['Wyatt Smith', 'David Brenner']",aftercreditsstinger 3d soldier  robmarshall action adventure fantasy
18,225000000,52.035179,624026776,106.0,6.2,4160,Men in Black 3,"['alien', 'timetravel', 'timemachine']","['comedy', 'action', 'sciencefiction']",en,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",[],['barrysonnenfeld'],"['Laurie MacDonald', 'Walter F. Parkes']",['Lowell Cunningham'],"['Wayne Wahrman', 'Don Zimmerman']",alien timetravel timemachine  barrysonnenfeld comedy action sciencefiction
19,250000000,120.965743,956019788,144.0,7.1,4760,The Hobbit: The Battle of the Five Armies,"['corruption', 'battle', 'dragon']","['action', 'adventure', 'fantasy']",en,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",[],['peterjackson'],"['Zane Weiner', 'Fran Walsh', 'Peter Jackson', 'Carolynne Cunningham']","['Guillermo del Toro', 'Philippa Boyens', 'Fran Walsh', 'Peter Jackson']",['Jabez Olssen'],corruption battle dragon  peterjackson action adventure fantasy
20,215000000,89.866276,752215857,136.0,6.5,6586,The Amazing Spider-Man,"['duringcreditsstinger', 'marvelcomic', 'lossoffather']","['action', 'adventure', 'fantasy']",en,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",[],['marcwebb'],"['Avi Arad', 'Matt Tolmach', 'Laura Ziskin']",[],"['Pietro Scalia', 'Alan Edward Bell']",duringcreditsstinger marvelcomic lossoffather  marcwebb action adventure fantasy
21,200000000,37.668301,310669540,140.0,6.2,1398,Robin Hood,"['knight', 'middleages', 'medieval']","['action', 'adventure']",en,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",[],['ridleyscott'],"['Ridley Scott', 'Russell Crowe', 'Brian Grazer']",[],['Pietro Scalia'],knight middleages medieval  ridleyscott action adventure
22,250000000,94.370564,958400000,161.0,7.6,4524,The Hobbit: The Desolation of Smaug,"['dragon', 'swordandsorcery', 'elves']","['adventure', 'fantasy']",en,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",[],['peterjackson'],"['Zane Weiner', 'Fran Walsh', 'Peter Jackson', 'Carolynne Cunningham']",[],['Jabez Olssen'],dragon swordandsorcery elves  peterjackson adventure fantasy
23,180000000,42.990906,372234864,113.0,5.8,1303,The Golden Compass,"['basedonyoungadultnovel', 'england', 'orphan']","['adventure', 'fantasy']",en,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",[],['chrisweitz'],"['Bill Carraro', 'Deborah Forte']",[],['Anne V. Coates'],basedonyoungadultnovel england orphan  chrisweitz adventure fantasy
24,207000000,61.22601,550000000,187.0,6.6,2337,King Kong,"['monster', 'ship', 'dinosaur']","['drama', 'action', 'adventure']",en,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']",[],['peterjackson'],"['Jan Blenkin', 'Fran Walsh', 'Peter Jackson', 'Carolynne Cunningham']",[],['Jamie Selkirk'],monster ship dinosaur  peterjackson drama action adventure
25,200000000,100.025899,1845034188,194.0,7.5,7562,Titanic,"['3d', 'love', 'ship']","['drama', 'thriller', 'romance']",en,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",[],['jamescameron'],"['Jon Landau', 'James Cameron']",[],"['Richard A. Harris', 'Conrad Buff IV', 'James Cameron']",3d love ship  jamescameron drama thriller romance
26,250000000,198.372395,1153304495,147.0,7.1,7241,Captain America: Civil War,"['duringcreditsstinger', 'aftercreditsstinger', '3d']","['action', 'adventure', 'sciencefiction']",en,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",[],"['anthonyrusso', 'joerusso']",['Kevin Feige'],[],['Jeffrey Ford'],duringcreditsstinger aftercreditsstinger 3d  anthonyrusso joerusso action adventure sciencefiction
27,209000000,64.928382,303025485,131.0,5.5,2114,Battleship,"['aftercreditsstinger', 'fight', 'scientist']","['thriller', 'action', 'adventure']",en,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",[],['peterberg'],"['Duncan Henderson', 'Peter Berg', 'Sarah Aubrey', 'Scott Stuber', 'Brian Goldner', 'Bennett Schneir']",[],"['Paul Rubell', 'Colby Parker Jr.', 'Billy Rich']",aftercreditsstinger fight scientist  peterberg thriller action adventure
28,150000000,418.708552,1513528810,124.0,6.5,8662,Jurassic World,"['3d', 'sequel', 'suspense']","['thriller', 'action', 'adventure']",en,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",[],['colintrevorrow'],"['Patrick Crowley', 'Frank Marshall']",[],['Kevin Stitt'],3d sequel suspense  colintrevorrow thriller action adventure
29,200000000,93.004993,1108561013,143.0,6.9,7604,Skyfall,"['spy', 'killer', 'secretagent']","['thriller', 'action', 'adventure']",en,['Columbia Pictures'],[],['sammendes'],"['Barbara Broccoli', 'Michael G. Wilson']","['Neal Purvis', 'John Logan', 'Robert Wade']",['Stuart Baird'],spy killer secretagent  sammendes thriller action adventure
30,200000000,35.149586,783766341,127.0,6.7,4321,Spider-Man 2,"['sequel', 'superhero', ""loveofone'slife""]","['action', 'adventure', 'fantasy']",en,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",[],['samraimi'],"['Avi Arad', 'Lorne Orleans', 'Laura Ziskin']",[],['Bob Murawski'],sequel superhero loveofone'slife  samraimi action adventure fantasy
31,200000000,77.68208,1215439994,130.0,6.8,8806,Iron Man 3,"['aftercreditsstinger', '3d', 'superhero']","['action', 'adventure', 'sciencefiction']",en,['Marvel Studios'],[],['shaneblack'],['Kevin Feige'],[],"['Jeffrey Ford', 'Peter S. Elliot']",aftercreditsstinger 3d superhero  shaneblack action adventure sciencefiction
32,200000000,78.530105,1025491110,108.0,6.4,4645,Alice in Wonderland,"['basedonnovel', '3d', 'fantasy']","['adventure', 'family', 'fantasy']",en,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",[],['timburton'],"['Jennifer Todd', 'Richard D. Zanuck', 'Suzanne Todd', 'Katterli Frauenfelder', 'Derek Frey', 'Tom C. Peitzman', 'Joe Roth']",[],['Chris Lebenzon'],basedonnovel 3d fantasy  timburton adventure family fantasy
33,210000000,3.857526,459359555,104.0,6.3,3525,X-Men: The Last Stand,"['aftercreditsstinger', 'basedoncomicbook', 'marvelcomic']","['thriller', 'action', 'adventure']",en,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']",[],['brettratner'],"['Avi Arad', 'Lauren Shuler Donner', 'Ralph Winter']",[],"['Mark Helfrich', 'Julia Wong', 'Mark Goldblatt']",aftercreditsstinger basedoncomicbook marvelcomic  brettratner thriller action adventure
34,200000000,89.186492,743559607,104.0,7.0,3528,Monsters University,"['aftercreditsstinger', 'bestfriend', 'monster']","['family', 'animation']",en,"['Walt Disney Pictures', 'Pixar Animation Studios']",[],['danscanlon'],['Kori Rae'],[],[],aftercreditsstinger bestfriend monster  danscanlon family animation
35,150000000,21.939663,836297228,150.0,6.0,3138,Transformers: Revenge of the Fallen,"['duringcreditsstinger', 'robot', 'imax']","['action', 'adventure', 'sciencefiction']",en,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",[],['michaelbay'],"['Ian Bryce', 'Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy']",[],"['Tom Muldoon', 'Paul Rubell', 'Roger Barton', 'Joel Negron']",duringcreditsstinger robot imax  michaelbay action adventure sciencefiction
36,210000000,116.840296,1091405097,165.0,5.8,3095,Transformers: Age of Extinction,"['sequel', 'alien', 'robot']","['action', 'adventure', 'sciencefiction']",en,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",[],['michaelbay'],"['Ian Bryce', 'Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy']",[],"['William Goldenberg', 'Paul Rubell', 'Roger Barton']",sequel alien robot  michaelbay action adventure sciencefiction
37,200000000,46.985445,491868548,130.0,5.7,3530,Oz: The Great and Powerful,"['3d', 'magic', 'witch']","['adventure', 'family', 'fantasy']",en,"['Walt Disney Pictures', 'Roth Films']",[],['samraimi'],['Joe Roth'],[],['Bob Murawski'],3d magic witch  samraimi adventure family fantasy
38,200000000,89.270217,705717432,142.0,6.5,4179,The Amazing Spider-Man 2,"['sequel', 'basedoncomicbook', 'obsession']","['action', 'adventure', 'fantasy']",en,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",[],['marcwebb'],"['Avi Arad', 'Matt Tolmach']",[],['Pietro Scalia'],sequel basedoncomicbook obsession  marcwebb action adventure fantasy
39,170000000,73.79505,400062763,125.0,6.3,2841,TRON: Legacy,"['dystopia', 'secretidentity', 'artificialintelligence']","['action', 'adventure', 'sciencefiction']",en,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",[],['josephkosinski'],"['Jeffrey Silver', 'Sean Bailey', 'Steven Lisberger']",[],[],dystopia secretidentity artificialintelligence  josephkosinski action adventure sciencefiction
40,200000000,49.98659,559852396,106.0,5.8,2033,Cars 2,"['duringcreditsstinger', 'sequel', 'bestfriend']","['comedy', 'adventure', 'family']",en,"['Walt Disney Pictures', 'Pixar Animation Studios']",[],"['johnlasseter', 'bradlewis']",['Denise Ream'],[],['Stephen Schaffer'],duringcreditsstinger sequel bestfriend  johnlasseter bradlewis comedy adventure family
41,200000000,51.872839,219851172,114.0,5.1,2487,Green Lantern,"['3d', 'alien', 'superhero']","['thriller', 'action', 'adventure']",en,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",[],['martincampbell'],"['Greg Berlanti', 'Donald De Line', 'Geoff Johns']",[],[],3d alien superhero  martincampbell thriller action adventure
42,200000000,59.995418,1066969703,103.0,7.6,4597,Toy Story 3,"['duringcreditsstinger', 'escape', 'hostage']","['comedy', 'family', 'animation']",en,"['Walt Disney Pictures', 'Pixar Animation Studios']",[],['leeunkrich'],"['John Lasseter', 'Darla K. Anderson']",[],['Ken Schretzmann'],duringcreditsstinger escape hostage  leeunkrich comedy family animation
43,200000000,71.862892,371353001,115.0,5.9,2463,Terminator Salvation,"['dystopia', 'losangeles', 'savingtheworld']","['thriller', 'action', 'sciencefiction']",en,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']",[],['mcg'],"['Jeffrey Silver', 'Derek Anderson', 'Victor Kubicek', 'Moritz Borman']","['John D. Brancato', 'Michael Ferris']",['Conrad Buff IV'],dystopia losangeles savingtheworld  mcg thriller action sciencefiction
44,190000000,102.322217,1506249360,137.0,7.3,4176,Furious 7,"['revenge', 'suspense', 'carrace']",['action'],en,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']",[],['jameswan'],"['Michael Fottrell', 'Neal H. Moritz', 'Brandon Birtell', 'Vin Diesel']",['Chris Morgan'],"['Kirk M. Morri', 'Dylan Highsmith', 'Leigh Folsom Boyd', 'Christian Wagner']",revenge suspense carrace  jameswan action
45,200000000,81.834855,531865000,116.0,6.7,5560,World War Z,"['dystopia', 'zombie', 'apocalypse']","['drama', 'thriller', 'action']",en,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",[],['marcforster'],"['Ian Bryce', 'Dede Gardner', 'Brad Pitt', 'Jeremy Kleiner']",[],"['Matt Chesse', 'Roger Barton']",dystopia zombie apocalypse  marcforster drama thriller action
46,250000000,118.078691,747862775,131.0,7.5,6032,X-Men: Days of Future Past,"['aftercreditsstinger', 'basedoncomicbook', 'timetravel']","['action', 'adventure', 'sciencefiction']",en,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']",[],['bryansinger'],"['Bryan Singer', 'Simon Kinberg', 'Lauren Shuler Donner', 'Hutch Parker']",[],['John Ottman'],aftercreditsstinger basedoncomicbook timetravel  bryansinger action adventure sciencefiction
47,190000000,78.291018,467365246,132.0,7.4,4418,Star Trek Into Darkness,"['friendship', '3d', 'sequel']","['action', 'adventure', 'sciencefiction']",en,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",[],['j.j.abrams'],"['Bryan Burk', 'Damon Lindelof', 'J.J. Abrams', 'Roberto Orci', 'Alex Kurtzman']",[],"['Mary Jo Markey', 'Maryann Brandon']",friendship 3d sequel  j.j.abrams action adventure sciencefiction
48,195000000,43.349855,197687603,114.0,5.5,2598,Jack the Giant Slayer,"['giant', 'basedonfairytale']","['action', 'family', 'fantasy']",en,"['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",[],['bryansinger'],['David Dobkin'],[],"['Bob Ducsay', 'John Ottman']",giant basedonfairytale  bryansinger action family fantasy
49,105000000,61.196071,351040419,143.0,7.3,3769,The Great Gatsby,"['basedonnovel', '3d', 'obsession']","['drama', 'romance']",en,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']",[],['bazluhrmann'],"['Baz Luhrmann', 'Catherine Martin', 'Lucy Fisher', 'Catherine Knapman']",[],[],basedonnovel 3d obsession  bazluhrmann drama romance
50,150000000,62.169881,335154643,116.0,6.2,2317,Prince of Persia: The Sands of Time,"['basedonvideogame', 'sandstorm', 'persia']","['action', 'romance', 'adventure']",en,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",[],['mikenewell'],['Jerry Bruckheimer'],[],"['Mick Audsley', 'Michael Kahn', 'Martin Walsh']",basedonvideogame sandstorm persia  mikenewell action romance adventure
51,180000000,56.523205,407602906,131.0,6.7,4794,Pacific Rim,"['duringcreditsstinger', 'dystopia', '3d']","['action', 'adventure', 'sciencefiction']",en,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",[],['guillermodeltoro'],"['Guillermo del Toro', 'Jon Jashni', 'Thomas Tull', 'Mary Parent']",[],"['John Gilroy', 'Peter Amundson']",duringcreditsstinger dystopia 3d  guillermodeltoro action adventure sciencefiction
52,195000000,28.529607,1123746996,154.0,6.1,3299,Transformers: Dark of the Moon,"['duringcreditsstinger', 'traitor', 'moon']","['action', 'adventure', 'sciencefiction']",en,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",[],['michaelbay'],"['Kenny Bates', 'Don Murphy', 'Ian Bryce', 'Lorenzo di Bonaventura', 'Tom DeSanto']",[],"['William Goldenberg', 'Roger Barton', 'Joel Negron']",duringcreditsstinger traitor moon  michaelbay action adventure sciencefiction
53,185000000,75.674458,786636033,122.0,5.7,2495,Indiana Jones and the Kingdom of the Crystal Skull,"['savingtheworld', 'treasurehunt', 'archaeologist']","['action', 'adventure']",en,"['Lucasfilm', 'Paramount Pictures']",[],['stevenspielberg'],['Frank Marshall'],[],['Michael Kahn'],savingtheworld treasurehunt archaeologist  stevenspielberg action adventure
54,175000000,51.692953,331926147,93.0,6.6,1736,The Good Dinosaur,"['friends', 'dinosaur', 'fear']","['adventure', 'family', 'animation']",en,"['Walt Disney Pictures', 'Pixar Animation Studios']",[],['petersohn'],"['Denise Ream', 'John Lasseter']",[],[],friends dinosaur fear  petersohn adventure family animation
55,185000000,125.114374,538983207,93.0,6.7,4641,Brave,"['womandirector', 'aftercreditsstinger', '3d']","['comedy', 'action', 'adventure']",en,"['Walt Disney Pictures', 'Pixar Animation Studios']",[],"['markandrews', 'brendachapman', 'stevepurcell']",['Katherine Sarafian'],[],[],womandirector aftercreditsstinger 3d  markandrews brendachapman stevepurcell comedy action adventure
56,185000000,65.352913,343471816,122.0,6.6,2568,Star Trek Beyond,"['sequel', 'spaceopera', 'stranded']","['action', 'adventure', 'sciencefiction']",en,"['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",[],['justinlin'],"['J.J. Abrams', 'Bryan Burk', 'Justin Lin', 'Roberto Orci']",[],"['Dylan Highsmith', 'Steven Sprung', ""Greg D'Auria"", 'Kelly Matsumoto']",sequel spaceopera stranded  justinlin action adventure sciencefiction
57,180000000,66.390712,521311860,98.0,7.8,6296,WALL·E,['romanticcomedy'],"['family', 'animation']",en,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",[],['andrewstanton'],"['Lindsey Collins', 'Jim Morris']",[],['Stephen Schaffer'],romanticcomedy  andrewstanton family animation
58,140000000,22.57178,258022233,91.0,6.1,783,Rush Hour 3,['ambassador'],"['comedy', 'thriller', 'action']",en,['New Line Cinema'],[],['brettratner'],"['Jonathan Glickman', 'Roger Birnbaum', 'Arthur M. Sarkissian', 'Jay Stern']",[],"['Billy Weber', 'Mark Helfrich', 'Don Zimmerman']",ambassador  brettratner comedy thriller action
59,200000000,45.274225,769653595,158.0,5.6,4903,2012,"['apocalypse', 'disaster', 'endoftheworld']","['action', 'adventure', 'sciencefiction']",en,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']",[],['rolandemmerich'],"['Mark Gordon', 'Volker Engel', 'Marc Weigert', 'Aaron Boyd', 'Kirstin Winkler', 'Larry J. Franco', 'Harald Kloser']","['Roland Emmerich', 'Harald Kloser']","['Peter S. Elliot', 'David Brenner']",apocalypse disaster endoftheworld  rolandemmerich action adventure sciencefiction
60,200000000,39.744242,325233863,96.0,6.6,1095,A Christmas Carol,"['basedonnovel', 'money', 'christmas']","['drama', 'animation']",en,"['Walt Disney', 'ImageMovers']",[],['robertzemeckis'],[],[],[],basedonnovel money christmas  robertzemeckis drama animation
61,176000003,85.36908,183987723,124.0,5.2,2768,Jupiter Ascending,"['womandirector', '3d', 'space']","['action', 'adventure', 'sciencefiction']",en,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",[],"['lanawachowski', 'lillywachowski']","['Lana Wachowski', 'Lilly Wachowski', 'Grant Hill']","['Lana Wachowski', 'Lilly Wachowski']",['Alexander Berner'],womandirector 3d space  lanawachowski lillywachowski action adventure sciencefiction
62,180000000,42.741719,356743061,109.0,5.5,2430,The Legend of Tarzan,"['jungle', 'africa', 'animalattack']","['action', 'adventure']",en,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']",[],['davidyates'],[],['John Collee'],['Mark Day'],jungle africa animalattack  davidyates action adventure
63,180000000,67.391328,748806957,143.0,6.7,2629,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['duringcreditsstinger', 'basedonnovel', 'witch']","['adventure', 'family', 'fantasy']",en,"['Walt Disney', 'Walden Media']",[],['andrewadamson'],"['K.C. Hodenfield', 'Philip Steuer', 'Matthew Stillman', 'David Minkowski', 'Douglas Gresham', 'Mark Johnson']",[],"['Jim May', 'Sim Evan-Jones']",duringcreditsstinger basedonnovel witch  andrewadamson adventure family fantasy
